pressure,temperature,vibration,volume_flow,Motor_power,stable_flag
160.67,35.62,0.58,6.71,2538.93,1
160.6,36.68,0.57,6.72,2531.5,1
160.35,37.88,0.58,6.72,2519.93,1
160.19,38.88,0.57,6.72,2511.54,1
160.0,39.8,0.58,6.69,2503.45,1
159.92,40.66,0.57,6.7,2501.01,1
159.67,41.46,0.57,6.7,2494.42,1
159.61,42.22,0.57,6.68,2489.42,1
159.48,42.89,0.57,6.67,2484.42,1
159.44,43.53,0.57,6.66,2480.43,1
159.32,44.11,0.57,6.66,2478.79,1
159.24,44.64,0.58,6.66,2472.27,1
159.14,45.16,0.58,6.66,2467.23,1
159.09,45.63,0.59,6.67,2465.31,1
158.99,46.06,0.58,6.67,2461.77,1
158.86,46.46,0.58,6.65,2459.51,1
158.82,46.84,0.58,6.65,2458.17,1
158.79,47.15,0.59,6.64,2455.59,1
158.65,47.47,0.6,6.66,2452.3,1
158.6,47.75,0.6,6.65,2448.33,1
158.62,48.03,0.62,6.64,2444.72,1
158.57,48.27,0.63,6.64,2441.78,1
158.53,48.5,0.62,6.64,2438.77,1
158.51,48.71,0.63,6.63,2437.65,1
158.44,48.92,0.63,6.63,2437.13,1
158.34,49.11,0.64,6.65,2434.61,1
158.27,49.32,0.64,6.63,2432.51,1
158.25,49.5,0.63,6.65,2432.65,1
158.09,49.66,0.64,6.64,2428.35,1
157.95,49.82,0.63,6.64,2425.84,1
157.96,49.93,0.64,6.63,2425.47,1
157.9,50.03,0.63,6.62,2424.28,1
157.97,50.17,0.63,6.64,2424.37,1
157.88,50.28,0.64,6.63,2423.38,1
157.83,50.39,0.65,6.64,2421.67,1
157.8,50.5,0.64,6.63,2421.09,1
157.77,50.6,0.64,6.62,2421.49,1
157.76,50.67,0.64,6.63,2422.78,1
157.83,50.72,0.65,6.64,2424.24,1
157.74,50.81,0.63,6.63,2420.98,1
157.79,50.91,0.63,6.62,2424.34,1
157.69,50.98,0.63,6.62,2421.64,1
157.66,51.07,0.63,6.62,2421.67,1
157.63,51.12,0.64,6.62,2420.58,1
157.59,51.19,0.64,6.63,2418.86,1
157.58,51.22,0.64,6.62,2419.73,1
157.58,51.29,0.66,6.64,2422.49,1
157.56,51.35,0.63,6.64,2417.85,1
157.56,51.39,0.63,6.63,2417.66,1
157.57,51.47,0.63,6.62,2417.01,1
157.61,51.52,0.64,6.62,2417.64,1
157.55,51.57,0.66,6.62,2415.61,1
157.53,51.61,0.63,6.62,2416.26,1
157.53,51.66,0.63,6.62,2416.15,1
157.63,51.7,0.65,6.63,2416.87,1
157.54,51.74,0.64,6.63,2415.16,1
157.51,51.76,0.64,6.64,2413.12,1
157.52,51.79,0.64,6.62,2412.4,1
157.48,51.85,0.64,6.64,2411.0,1
157.5,51.88,0.64,6.64,2412.43,1
157.47,51.91,0.63,6.63,2411.98,1
157.45,51.93,0.64,6.62,2411.35,1
157.47,51.92,0.63,6.63,2411.76,1
157.44,51.98,0.64,6.62,2409.76,1
157.45,52.0,0.64,6.63,2409.63,1
157.45,52.01,0.64,6.63,2409.81,1
157.44,52.03,0.64,6.64,2410.09,1
157.41,52.06,0.64,6.63,2410.55,1
157.43,52.1,0.64,6.64,2410.03,1
157.41,52.16,0.64,6.62,2408.91,1
157.4,52.16,0.65,6.62,2408.17,1
157.4,52.21,0.65,6.62,2406.79,1
157.34,52.3,0.65,6.62,2409.19,1
157.33,52.38,0.64,6.62,2409.42,1
157.36,52.41,0.64,6.64,2409.18,1
157.33,52.42,0.65,6.62,2409.44,1
157.32,52.53,0.65,6.64,2409.31,1
157.31,52.6,0.64,6.61,2406.85,1
157.29,52.64,0.64,6.62,2407.14,1
157.26,52.7,0.65,6.63,2406.75,1
157.25,52.68,0.65,6.62,2406.83,1
157.24,52.77,0.65,6.6,2406.64,1
157.26,52.8,0.65,6.61,2406.55,1
157.23,52.83,0.64,6.61,2407.51,1
157.22,52.83,0.65,6.6,2407.38,1
157.24,52.89,0.66,6.61,2407.51,1
157.23,52.9,0.64,6.61,2407.11,1
157.24,52.91,0.64,6.61,2409.44,1
157.23,52.94,0.64,6.62,2406.65,1
157.21,52.98,0.65,6.61,2409.02,1
157.21,53.0,0.65,6.63,2411.26,1
157.2,53.02,0.65,6.61,2410.36,1
157.2,53.05,0.65,6.61,2411.29,1
157.17,53.07,0.65,6.62,2412.22,1
157.17,53.12,0.65,6.63,2413.52,1
157.16,53.16,0.63,6.63,2413.38,1
157.15,53.18,0.64,6.61,2414.01,1
157.17,53.19,0.64,6.61,2410.67,1
157.17,53.21,0.65,6.61,2409.27,1
157.13,53.2,0.67,6.63,2406.91,1
157.14,53.26,0.67,6.6,2405.87,1
157.13,53.23,0.64,6.61,2404.47,1
157.13,53.25,0.66,6.61,2404.43,1
157.15,53.28,0.65,6.62,2404.39,1
157.11,53.32,0.65,6.61,2404.58,1
157.12,53.35,0.66,6.62,2403.73,1
157.11,53.35,0.65,6.62,2403.63,1
157.08,53.38,0.64,6.6,2402.31,1
157.07,53.42,0.65,6.6,2401.6,1
157.05,53.46,0.66,6.62,2402.14,1
157.1,53.47,0.65,6.61,2404.36,1
157.07,53.52,0.67,6.6,2404.65,1
157.12,53.52,0.65,6.61,2405.49,1
157.11,53.49,0.65,6.62,2406.75,1
157.02,53.56,0.66,6.6,2405.26,1
157.03,53.57,0.66,6.61,2406.22,1
157.01,53.59,0.66,6.62,2406.39,1
157.03,53.61,0.65,6.6,2405.33,1
156.99,53.65,0.67,6.61,2402.61,1
156.99,53.65,0.66,6.6,2403.06,1
157.03,53.67,0.65,6.61,2401.9,1
157.05,53.65,0.65,6.6,2402.36,1
157.08,53.64,0.66,6.61,2402.15,1
157.0,53.64,0.64,6.6,2403.07,1
156.99,53.65,0.65,6.61,2400.85,1
156.99,53.68,0.65,6.59,2400.5,1
157.01,53.7,0.65,6.61,2400.49,1
157.04,53.69,0.66,6.61,2402.23,1
157.26,53.69,0.65,6.61,2405.61,1
157.09,53.7,0.66,6.61,2400.75,1
157.09,53.74,0.66,6.61,2402.05,1
157.04,53.77,0.67,6.6,2401.46,1
157.02,53.78,0.66,6.61,2399.83,1
157.02,53.77,0.65,6.61,2400.66,1
156.99,53.76,0.65,6.61,2401.51,1
156.99,53.77,0.67,6.6,2402.14,1
157.02,53.76,0.66,6.61,2402.49,1
156.99,53.78,0.66,6.6,2401.57,1
157.08,53.81,0.65,6.61,2402.04,1
157.09,53.82,0.66,6.6,2403.12,1
157.04,53.8,0.65,6.61,2402.84,1
157.04,53.84,0.65,6.61,2403.62,1
157.03,53.83,0.66,6.6,2401.36,1
157.03,53.84,0.67,6.61,2401.03,1
157.08,53.84,0.66,6.61,2402.87,1
156.99,53.86,0.66,6.61,2400.64,1
156.99,53.83,0.67,6.6,2399.54,1
156.99,53.85,0.66,6.6,2399.45,1
156.95,53.89,0.66,6.6,2398.22,1
156.96,53.91,0.65,6.6,2398.93,1
156.99,53.86,0.67,6.6,2400.48,1
156.98,53.85,0.65,6.6,2398.54,1
156.98,53.88,0.67,6.61,2399.58,1
156.97,53.87,0.65,6.61,2399.49,1
156.96,53.87,0.66,6.6,2399.85,1
156.95,53.9,0.66,6.6,2401.13,1
156.97,53.93,0.67,6.6,2401.22,1
156.97,53.88,0.65,6.6,2399.67,1
156.96,53.89,0.65,6.6,2399.99,1
156.93,53.93,0.66,6.6,2401.2,1
156.95,53.9,0.66,6.61,2400.57,1
157.05,53.96,0.65,6.59,2401.16,1
157.04,53.94,0.66,6.6,2401.2,1
157.01,53.9,0.67,6.61,2400.3,1
157.09,53.97,0.66,6.6,2400.39,1
157.09,53.95,0.68,6.59,2400.85,1
157.07,53.95,0.67,6.59,2400.78,1
157.02,53.99,0.66,6.61,2398.26,1
157.1,53.98,0.68,6.6,2400.2,1
157.1,54.01,0.66,6.59,2400.45,1
157.12,54.03,0.67,6.59,2400.6,1
157.18,54.03,0.66,6.6,2401.51,1
157.11,54.05,0.66,6.61,2400.18,1
157.05,54.05,0.67,6.59,2400.62,1
157.01,54.05,0.66,6.61,2398.9,1
157.09,54.03,0.66,6.61,2398.38,1
157.06,54.04,0.67,6.59,2398.66,1
157.16,54.05,0.67,6.6,2401.54,1
157.05,54.08,0.67,6.6,2402.05,1
157.04,54.07,0.67,6.61,2397.01,1
157.05,54.1,0.68,6.59,2394.59,1
157.15,54.11,0.67,6.6,2394.86,1
157.08,54.1,0.67,6.6,2392.95,1
156.99,54.09,0.66,6.61,2393.11,1
157.01,54.1,0.66,6.59,2394.66,1
157.0,54.13,0.67,6.6,2395.77,1
157.05,54.11,0.67,6.59,2395.13,1
156.99,54.13,0.66,6.6,2395.41,1
157.05,54.16,0.67,6.59,2396.84,1
157.01,54.17,0.65,6.6,2397.55,1
156.97,54.19,0.65,6.59,2397.67,1
156.94,54.2,0.66,6.6,2397.55,1
156.97,54.18,0.66,6.61,2397.19,1
156.99,54.17,0.65,6.59,2397.81,1
156.96,54.15,0.66,6.6,2397.29,1
156.97,54.19,0.67,6.59,2397.78,1
157.01,54.19,0.67,6.6,2399.6,1
156.99,54.23,0.68,6.59,2396.14,1
156.96,54.24,0.65,6.59,2396.09,1
156.95,54.24,0.67,6.59,2397.15,1
156.93,54.24,0.66,6.6,2397.77,1
157.06,54.25,0.66,6.6,2397.7,1
156.99,54.24,0.65,6.59,2397.12,1
157.01,54.26,0.66,6.6,2399.01,1
157.01,54.26,0.65,6.59,2399.28,1
156.96,54.29,0.66,6.6,2399.73,1
156.98,54.3,0.67,6.59,2399.27,1
156.95,54.3,0.67,6.59,2398.14,1
157.0,54.32,0.66,6.6,2400.49,1
157.02,54.32,0.66,6.6,2400.62,1
156.39,54.27,0.65,6.31,2427.4,1
174.89,54.14,0.74,3.02,2676.66,0
156.37,54.2,0.81,6.47,2425.9,0
156.49,54.16,0.71,6.39,2427.28,0
167.47,54.12,0.73,4.29,2570.48,0
167.31,54.16,0.74,4.27,2568.06,0
156.55,54.27,0.68,6.23,2423.72,0
156.8,54.23,0.66,6.23,2428.29,0
156.6,54.21,0.66,6.22,2425.15,0
156.56,54.19,0.66,6.23,2422.02,0
156.35,54.19,0.66,6.23,2419.46,0
156.25,54.19,0.66,6.26,2419.26,0
156.2,54.17,0.66,6.26,2420.47,0
156.23,54.21,0.66,6.26,2420.11,0
156.22,54.19,0.66,6.26,2416.43,0
156.22,54.18,0.65,6.26,2418.34,0
156.2,54.2,0.66,6.26,2417.23,0
156.24,54.21,0.67,6.26,2418.3,0
156.24,54.21,0.66,6.27,2419.1,0
156.22,54.19,0.66,6.27,2420.48,0
156.22,54.2,0.66,6.27,2418.63,0
156.14,54.18,0.66,6.28,2417.65,0
156.14,54.18,0.66,6.28,2416.37,0
156.12,54.22,0.66,6.28,2414.88,0
156.14,54.22,0.65,6.28,2416.72,0
156.16,54.21,0.66,6.27,2417.13,0
156.15,54.2,0.65,6.28,2415.72,0
156.15,54.23,0.66,6.27,2416.32,0
156.19,54.27,0.66,6.28,2415.54,0
156.14,54.24,0.66,6.28,2414.68,0
156.14,54.24,0.65,6.28,2415.57,0
156.11,54.26,0.66,6.26,2414.58,0
156.08,54.28,0.66,6.28,2415.26,0
156.1,54.3,0.66,6.28,2415.5,0
156.14,54.3,0.66,6.27,2416.61,0
156.18,54.31,0.66,6.26,2414.04,0
156.15,54.3,0.66,6.28,2413.9,0
174.52,54.27,0.74,3.04,2657.64,0
156.7,54.38,0.75,6.32,2420.0,0
156.35,54.39,0.66,6.26,2415.95,0
156.33,54.42,0.66,6.25,2416.57,0
156.45,54.4,0.66,6.35,2403.78,1
156.53,54.4,0.66,6.31,2403.59,0
156.78,54.43,0.66,6.32,2407.08,0
156.63,54.44,0.66,6.32,2404.98,0
156.61,54.43,0.66,6.32,2405.3,0
156.62,54.44,0.66,6.32,2405.66,0
156.54,54.43,0.66,6.32,2406.07,0
156.54,54.43,0.66,6.32,2407.7,0
156.54,54.45,0.66,6.32,2407.38,0
156.55,54.43,0.65,6.32,2407.6,0
156.53,54.42,0.65,6.35,2407.44,0
156.43,54.43,0.66,6.36,2403.99,0
156.41,54.44,0.66,6.36,2402.78,0
156.43,54.42,0.65,6.35,2403.28,0
156.45,54.42,0.66,6.35,2403.86,0
156.47,54.42,0.66,6.36,2404.47,0
156.47,54.4,0.66,6.36,2405.02,0
156.43,54.42,0.66,6.36,2405.29,0
156.47,54.43,0.66,6.36,2407.5,0
156.45,54.42,0.65,6.36,2403.61,0
156.52,54.4,0.66,6.36,2403.92,0
156.43,54.38,0.66,6.37,2403.36,0
156.47,54.42,0.66,6.37,2404.43,0
156.48,54.43,0.65,6.37,2404.19,0
156.47,54.38,0.66,6.37,2405.48,0
156.47,54.37,0.65,6.37,2406.0,0
156.49,54.4,0.66,6.37,2405.77,0
156.45,54.43,0.66,6.37,2405.63,0
156.45,54.42,0.66,6.37,2405.48,0
156.47,54.41,0.66,6.37,2406.16,0
156.46,54.42,0.66,6.37,2405.42,0
156.38,54.4,0.66,6.38,2405.76,0
156.39,54.42,0.65,6.35,2407.41,0
156.38,54.41,0.65,6.37,2405.51,0
156.41,54.41,0.65,6.37,2406.05,0
156.4,54.44,0.66,6.35,2404.36,0
156.4,54.41,0.64,6.36,2404.64,0
156.41,54.42,0.65,6.38,2404.9,0
156.42,54.42,0.65,6.36,2405.53,0
156.43,54.4,0.73,6.37,2402.88,0
156.4,54.38,0.66,6.38,2402.67,0
156.83,54.41,0.68,6.61,2395.17,1
157.1,54.44,0.67,6.55,2397.76,0
157.09,54.53,0.67,6.55,2397.08,0
157.08,54.53,0.67,6.54,2395.54,0
157.07,54.62,0.67,6.54,2394.97,0
157.08,54.66,0.68,6.55,2394.77,0
157.07,54.67,0.68,6.54,2394.22,0
157.07,54.72,0.67,6.54,2394.2,0
157.04,54.76,0.68,6.54,2393.3,0
157.03,54.75,0.68,6.56,2396.07,0
157.04,54.81,0.66,6.56,2398.88,0
156.93,54.8,0.66,6.58,2397.93,0
156.95,54.84,0.65,6.57,2395.35,0
156.95,54.85,0.68,6.58,2393.42,0
156.96,54.86,0.67,6.58,2394.79,0
156.91,54.87,0.66,6.57,2394.85,0
156.93,54.89,0.66,6.57,2392.73,0
156.92,54.92,0.66,6.57,2390.43,0
156.93,54.95,0.66,6.56,2389.79,0
156.9,54.95,0.65,6.57,2391.76,0
156.89,55.02,0.67,6.57,2390.84,0
156.79,55.02,0.67,6.59,2390.01,0
156.79,55.04,0.66,6.59,2389.81,0
156.8,55.05,0.66,6.59,2390.3,0
156.82,55.04,0.66,6.59,2390.55,0
156.84,55.06,0.65,6.59,2392.34,0
156.8,55.05,0.65,6.59,2392.22,0
156.84,55.06,0.66,6.59,2393.52,0
156.85,54.99,0.67,6.59,2394.49,0
156.84,54.97,0.65,6.59,2394.22,0
156.87,54.95,0.67,6.59,2393.85,0
156.82,54.9,0.67,6.6,2393.99,0
156.82,54.88,0.67,6.61,2393.25,0
156.85,54.84,0.65,6.6,2390.98,0
156.84,54.82,0.65,6.6,2392.34,0
156.84,54.78,0.66,6.59,2393.98,0
156.86,54.74,0.65,6.59,2394.71,0
156.85,54.73,0.67,6.58,2395.69,0
156.83,54.73,0.66,6.6,2396.49,0
156.85,54.67,0.66,6.6,2396.26,0
156.86,54.64,0.65,6.61,2397.6,0
156.82,54.49,0.68,6.62,2403.73,1
156.8,54.54,0.65,6.6,2401.77,1
156.81,54.52,0.66,6.59,2397.82,1
156.82,54.45,0.66,6.59,2397.36,1
156.8,54.44,0.67,6.59,2397.49,1
156.86,54.44,0.65,6.6,2398.7,1
156.85,54.41,0.65,6.6,2396.43,1
156.83,54.42,0.65,6.6,2397.27,1
156.8,54.39,0.67,6.59,2396.95,1
156.85,54.37,0.65,6.59,2398.1,1
173.18,54.26,0.74,3.27,2652.4,1
156.4,54.3,0.68,6.25,2424.19,0
173.31,54.14,0.73,3.23,2652.81,0
173.32,54.19,0.76,3.23,2651.72,0
173.3,54.25,0.78,3.23,2648.31,0
173.29,54.27,0.78,3.23,2646.48,0
173.28,54.32,0.79,3.24,2646.49,0
156.38,54.5,0.69,6.24,2419.17,0
173.28,54.37,0.75,3.24,2649.53,0
173.28,54.46,0.78,3.24,2648.89,0
173.29,54.57,0.78,3.23,2648.25,0
173.11,54.68,0.77,3.28,2646.08,0
173.15,54.76,0.78,3.26,2646.29,0
173.12,54.84,0.78,3.27,2645.59,0
173.07,54.95,0.77,3.29,2645.3,0
173.07,55.08,0.76,3.27,2641.79,0
173.07,55.17,0.76,3.28,2641.78,0
173.05,55.25,0.76,3.26,2641.65,0
173.01,55.31,0.77,3.29,2643.41,0
173.0,55.4,0.77,3.28,2642.3,0
172.95,55.54,0.76,3.29,2638.87,0
172.85,55.62,0.76,3.31,2636.84,0
166.7,55.76,0.73,4.3,2553.14,0
172.83,55.79,0.75,3.3,2634.61,0
172.81,55.85,0.75,3.29,2634.99,0
172.78,55.89,0.74,3.32,2635.03,0
172.78,55.93,0.74,3.3,2635.23,0
180.41,55.99,0.78,2.08,2736.73,0
173.26,56.02,0.78,3.28,2645.47,0
172.75,56.1,0.75,3.3,2636.34,0
172.73,56.21,0.76,3.3,2634.93,0
172.68,56.28,0.75,3.29,2634.63,0
172.67,56.33,0.75,3.29,2634.62,0
172.69,56.4,0.75,3.29,2633.56,0
172.68,56.45,0.74,3.29,2632.39,0
172.66,56.48,0.75,3.3,2631.27,0
172.65,56.49,0.75,3.29,2631.26,0
166.44,56.57,0.71,4.3,2547.8,0
172.65,56.58,0.74,3.29,2632.42,0
172.66,56.63,0.74,3.29,2633.73,0
155.55,56.74,0.66,6.25,2400.8,0
172.84,56.59,0.72,3.36,2619.74,1
173.09,56.67,0.75,3.31,2621.41,0
173.11,56.69,0.74,3.29,2625.1,0
156.01,56.78,0.66,6.31,2392.65,0
180.7,56.64,0.74,2.08,2722.54,0
156.74,56.76,0.68,6.33,2404.32,0
173.16,56.58,0.72,3.29,2623.31,0
173.1,56.68,0.74,3.28,2621.99,0
173.08,56.73,0.74,3.3,2622.19,0
156.03,56.85,0.66,6.32,2393.86,0
173.09,56.67,0.72,3.3,2623.39,0
180.63,56.72,0.76,2.08,2721.93,0
156.57,56.78,0.7,6.35,2403.3,0
156.22,56.68,0.64,6.35,2396.15,0
173.13,56.56,0.72,3.32,2623.99,0
173.03,56.68,0.73,3.32,2621.55,0
172.95,56.68,0.74,3.33,2619.8,0
172.94,56.69,0.73,3.33,2619.07,0
172.93,56.7,0.74,3.34,2619.54,0
155.84,56.8,0.65,6.35,2389.99,0
172.95,56.65,0.72,3.32,2622.0,0
172.84,56.72,0.74,3.35,2620.75,0
172.84,56.74,0.73,3.34,2620.64,0
172.86,56.78,0.73,3.34,2621.44,0
172.84,56.78,0.72,3.34,2621.51,0
172.85,56.83,0.73,3.34,2621.1,0
172.84,56.87,0.73,3.34,2621.14,0
172.84,56.88,0.73,3.35,2619.25,0
172.84,56.92,0.74,3.34,2619.09,0
155.7,57.03,0.65,6.37,2387.04,0
172.83,56.86,0.71,3.35,2617.32,0
172.78,56.94,0.72,3.35,2617.96,0
172.78,56.97,0.73,3.34,2617.67,0
155.64,57.07,0.65,6.36,2387.99,0
172.82,56.9,0.71,3.34,2620.22,0
166.6,56.97,0.7,4.36,2534.06,0
155.62,57.01,0.64,6.36,2386.91,0
172.83,56.79,0.71,3.35,2619.23,0
172.82,56.87,0.73,3.32,2617.44,0
172.89,56.91,0.72,3.32,2618.51,0
172.81,56.93,0.72,3.33,2616.54,0
156.08,57.07,0.72,6.58,2378.41,1
156.39,56.97,0.7,6.52,2382.6,0
156.42,56.94,0.66,6.54,2382.63,0
156.41,56.93,0.67,6.55,2383.8,0
156.43,56.88,0.68,6.54,2384.46,0
156.4,56.83,0.68,6.54,2385.91,0
156.45,56.81,0.67,6.54,2388.63,0
156.41,56.73,0.66,6.54,2388.07,0
156.43,56.67,0.68,6.55,2389.9,0
156.48,56.64,0.67,6.55,2387.09,0
156.47,56.58,0.66,6.55,2386.19,0
156.39,56.55,0.65,6.58,2385.85,0
156.37,56.52,0.66,6.56,2386.9,0
156.4,56.45,0.66,6.58,2387.03,0
156.39,56.44,0.67,6.57,2385.76,0
156.42,56.43,0.65,6.58,2388.12,0
156.44,56.37,0.67,6.58,2387.94,0
156.39,56.36,0.65,6.58,2387.6,0
156.43,56.29,0.66,6.58,2387.52,0
156.4,56.3,0.65,6.58,2388.92,0
156.4,56.26,0.65,6.57,2387.86,0
156.3,56.26,0.63,6.6,2387.78,0
156.31,56.22,0.64,6.6,2386.09,0
156.34,56.18,0.64,6.6,2386.62,0
156.35,56.19,0.65,6.6,2386.15,0
156.38,56.19,0.64,6.59,2386.62,0
156.35,56.18,0.65,6.59,2386.31,0
156.39,56.14,0.64,6.59,2387.75,0
156.37,56.11,0.64,6.59,2388.4,0
156.39,56.12,0.64,6.59,2389.03,0
156.38,56.1,0.63,6.59,2387.09,0
156.34,56.08,0.65,6.59,2387.61,0
156.34,56.09,0.63,6.6,2387.74,0
156.36,56.05,0.64,6.6,2389.5,0
156.35,56.06,0.64,6.6,2389.9,0
156.34,56.06,0.64,6.59,2390.83,0
156.36,56.05,0.64,6.59,2390.87,0
156.38,56.02,0.63,6.6,2391.14,0
180.92,55.99,0.73,2.13,2716.95,0
156.87,56.16,0.75,6.6,2401.29,0
156.55,56.12,0.65,6.59,2395.43,0
156.48,56.04,0.66,6.59,2394.98,1
156.57,56.08,0.65,6.58,2395.42,1
156.55,56.07,0.65,6.57,2392.26,1
173.45,56.0,0.73,3.4,2617.7,1
156.33,56.23,0.66,6.59,2387.2,1
156.31,56.16,0.64,6.57,2387.06,1
156.3,56.15,0.64,6.57,2387.04,1
156.35,56.11,0.64,6.58,2388.15,1
156.3,56.09,0.63,6.57,2387.55,1
156.31,56.08,0.62,6.58,2388.54,1
172.9,55.98,0.71,3.28,2643.53,1
173.07,55.97,0.73,3.24,2643.4,0
173.08,55.99,0.74,3.25,2641.69,0
173.06,55.97,0.74,3.23,2641.54,0
173.04,56.01,0.75,3.24,2640.92,0
173.03,56.03,0.74,3.23,2641.39,0
173.01,56.09,0.73,3.23,2640.47,0
180.7,56.17,0.76,2.02,2740.64,0
173.45,56.18,0.78,3.24,2646.84,0
172.99,56.27,0.74,3.24,2635.51,0
172.9,56.36,0.73,3.23,2633.89,0
172.78,56.45,0.73,3.27,2633.68,0
172.77,56.52,0.73,3.27,2633.74,0
172.77,56.57,0.74,3.28,2634.0,0
172.77,56.66,0.73,3.28,2634.54,0
172.79,56.71,0.73,3.27,2634.86,0
172.78,56.76,0.73,3.27,2633.55,0
172.8,56.83,0.71,3.26,2633.72,0
172.78,56.87,0.73,3.27,2634.84,0
155.51,57.05,0.65,6.24,2401.76,0
172.77,56.92,0.71,3.27,2633.85,0
172.68,57.0,0.73,3.29,2632.98,0
172.72,57.03,0.73,3.29,2633.52,0
180.38,57.11,0.74,2.08,2732.25,0
173.06,57.1,0.76,3.28,2637.45,0
172.6,57.11,0.72,3.29,2630.03,0
172.59,57.22,0.73,3.28,2631.24,0
172.61,57.28,0.72,3.29,2631.22,0
172.6,57.31,0.72,3.28,2629.68,0
172.59,57.33,0.72,3.28,2629.45,0
172.62,57.36,0.72,3.29,2632.44,0
172.58,57.37,0.72,3.28,2631.95,0
172.55,57.38,0.72,3.28,2628.83,0
172.56,57.42,0.71,3.28,2629.09,0
172.54,57.47,0.71,3.28,2630.78,0
172.57,57.47,0.71,3.28,2628.44,0
172.51,57.5,0.71,3.29,2626.89,0
172.51,57.53,0.72,3.28,2625.54,0
172.54,57.52,0.71,3.28,2625.83,0
172.54,57.54,0.71,3.28,2625.87,0
172.52,57.57,0.72,3.28,2628.07,0
172.65,57.59,0.72,3.32,2617.52,1
172.94,57.6,0.72,3.29,2614.71,0
172.91,57.63,0.72,3.3,2618.58,0
172.92,57.62,0.72,3.29,2621.71,0
172.89,57.63,0.72,3.29,2617.07,0
172.93,57.63,0.72,3.28,2618.04,0
172.94,57.67,0.72,3.3,2619.97,0
172.94,57.69,0.71,3.28,2620.99,0
172.95,57.7,0.72,3.28,2619.21,0
172.93,57.7,0.72,3.28,2618.83,0
155.7,57.84,0.63,6.32,2389.23,0
172.85,57.63,0.7,3.32,2621.08,0
155.64,57.77,0.64,6.35,2389.84,0
172.88,57.58,0.7,3.32,2624.14,0
166.65,57.64,0.69,4.33,2540.06,0
155.66,57.65,0.63,6.35,2389.89,0
172.9,57.5,0.7,3.3,2621.45,0
172.86,57.5,0.71,3.32,2620.86,0
172.87,57.51,0.72,3.3,2610.36,0
172.86,57.51,0.73,3.33,2605.53,0
172.87,57.5,0.73,3.32,2602.86,0
172.77,57.51,0.73,3.33,2601.56,0
172.75,57.56,0.73,3.33,2602.05,0
172.76,57.56,0.73,3.33,2602.71,0
172.76,57.56,0.73,3.33,2604.21,0
172.77,57.59,0.73,3.35,2605.68,0
172.78,57.58,0.73,3.33,2607.36,0
172.77,57.63,0.73,3.33,2607.45,0
172.75,57.63,0.73,3.34,2607.14,0
172.73,57.65,0.73,3.35,2603.96,0
172.76,57.65,0.72,3.32,2604.79,0
172.73,57.69,0.72,3.32,2606.16,0
